Intent_id,Standard,Clause_or_control,Intent_type,Intent_statement,Evidence_examples,Strength,Mandatory,Applicability ,Exclusion_Justified,Process,Action_Title,compliance_status
INT-06-02,ISO27001_2022,6.1.1,governance,Internal and external issues relevant to information security are considered when identifying risks,Context or risk input documentation,medium,Yes,,,Risk Management,Internal and external issues relevant to information security are considered when identifying risks,Not Started
INT-06-03,ISO27001_2022,6.1.1,governance,Requirements of interested parties are considered when identifying information security risks,Stakeholder requirements or compliance register,medium,Yes,,,Risk Management,Requirements of interested parties are considered when identifying information security risks,Not Started
INT-06-04,ISO27001_2022,6.1.1,governance,Actions to address identified risks and opportunities are planned,ISMS planning or risk action plans,strong,Yes,,,Risk Management,Actions to address identified risks and opportunities are planned,Not Started
INT-06-05,ISO27001_2022,6.1.1,governance,Planned actions are integrated into ISMS processes,ISMS procedures or process documentation,weak,Yes,,,Risk Management,Planned actions are integrated into ISMS processes,Not Started
INT-06-06,ISO27001_2022,6.1.2,process,A defined information security risk assessment methodology is established and documented,Risk assessment methodology document,strong,Yes,,,Risk Management,A defined information security risk assessment methodology is established and documented,Not Started
INT-06-07,ISO27001_2022,6.1.2,process,Information security risks are identified for assets within the ISMS scope,Risk register or asset-risk mapping,strong,Yes,,,Risk Management,Information security risks are identified for assets within the ISMS scope,Not Started
INT-06-08,ISO27001_2022,6.1.2,process,Risks are analyzed to determine likelihood and impact using defined criteria,Risk analysis records,strong,Yes,,,Risk Management,Risks are analyzed to determine likelihood and impact using defined criteria,Not Started
INT-06-09,ISO27001_2022,6.1.2,process,Risk acceptance criteria are defined and applied,Risk acceptance criteria documentation,medium,Yes,,,Risk Management,Risk acceptance criteria are defined and applied,Not Started
INT-06-10,ISO27001_2022,6.1.2,process,Risk assessment results are documented and maintained,Risk assessment reports,strong,Yes,,,Risk Management,Risk assessment results are documented and maintained,Not Started
INT-06-11,ISO27001_2022,6.1.2,process,Risk assessments are performed at planned intervals or upon significant changes,Risk review schedule or updated assessments,medium,Yes,,,Risk Management,Risk assessments are performed at planned intervals or upon significant changes,Not Started
INT-06-12,ISO27001_2022,6.1.3,process,Information security risk treatment options are selected based on risk assessment results,Risk treatment plan,strong,Yes,,,Risk Management,Information security risk treatment options are selected based on risk assessment results,Not Started
INT-06-13,ISO27001_2022,6.1.3,process,Appropriate information security controls are selected to treat identified risks,Statement of Applicability,strong,Yes,,,Risk Management,Appropriate information security controls are selected to treat identified risks,Not Started
INT-06-14,ISO27001_2022,6.1.3,process,Risk owners are assigned responsibility for implementing risk treatment actions,Risk register with assigned owners,medium,Yes,,,Risk Management,Risk owners are assigned responsibility for implementing risk treatment actions,Not Started
INT-06-15,ISO27001_2022,6.1.3,process,Risk treatment actions are documented and tracked to completion,Risk treatment tracking records,strong,Yes,,,Risk Management,Risk treatment actions are documented and tracked to completion,Not Started
INT-06-16,ISO27001_2022,6.1.3,process,Residual risks are evaluated and formally accepted by management,Risk acceptance records or approvals,medium,Yes,,,Risk Management,Residual risks are evaluated and formally accepted by management,Not Started
INT-06-17,ISO27001_2022,6.2,governance,Information security objectives are established and documented,Information security objectives document,strong,Yes,,,Risk Management,Define Employment Security Terms,Not Started
INT-06-18,ISO27001_2022,6.2,governance,Information security objectives are consistent with the information security policy,Policy and objectives alignment records,medium,Yes,,,Risk Management,Define Employment Security Terms,Not Started
INT-06-19,ISO27001_2022,6.2,governance,Information security objectives are measurable where practicable,Defined metrics or KPIs,medium,Yes,,,Risk Management,Define Employment Security Terms,Not Started
INT-06-20,ISO27001_2022,6.2,governance,Plans are defined to achieve information security objectives,Objectives action plans,strong,Yes,,,Risk Management,Define Employment Security Terms,Not Started
INT-06-21,ISO27001_2022,6.2,governance,Progress toward information security objectives is monitored and reviewed,Objective tracking or management review records,medium,Yes,,,Risk Management,Define Employment Security Terms,Not Started
INT-07-01,ISO27001_2022,7.1,governance,Resources necessary for the establishment and operation of the ISMS are identified,Resource planning or ISMS resourcing documentation,strong,Yes,,,Governance & Policy,Secure Physical Perimeters,Not Started
INT-07-02,ISO27001_2022,7.1,governance,Adequate personnel are assigned to perform ISMS-related activities,Role assignments or staffing records,medium,Yes,,,Governance & Policy,Secure Physical Perimeters,Not Started
INT-07-03,ISO27001_2022,7.1,governance,Appropriate tools and technologies are provided to support information security activities,Security tooling inventory or licenses,medium,Yes,,,Governance & Policy,Secure Physical Perimeters,Not Started
INT-07-04,ISO27001_2022,7.1,governance,Resources for maintaining and improving the ISMS are reviewed and adjusted as needed,Management review or planning records,weak,Yes,,,Governance & Policy,Secure Physical Perimeters,Not Started
INT-07-05,ISO27001_2022,7.2,governance,Competence requirements for information security roles are defined,Role descriptions or competency requirements,strong,Yes,,,Governance & Policy,Secure Physical Entry,Not Started
INT-07-06,ISO27001_2022,7.2,governance,"Personnel performing information security roles are competent based on education,  training  or experience", Training records or resumes,medium,Yes,,,Governance & Policy,Secure Physical Entry,Not Started
INT-07-07,ISO27001_2022,7.2,governance,Training or other actions are taken to address identified competence gaps,Training plans or improvement actions,medium,Yes,,,Governance & Policy,Secure Physical Entry,Not Started
INT-07-08,ISO27001_2022,7.2,governance,The effectiveness of actions taken to achieve competence is evaluated,Training effectiveness assessments or reviews,weak,Yes,,,Governance & Policy,Secure Physical Entry,Not Started
INT-07-09,ISO27001_2022,7.2,governance,Documented information is retained as evidence of competence,Training records or certification records,strong,Yes,,,Governance & Policy,Secure Physical Entry,Not Started
INT-07-10,ISO27001_2022,7.3,governance,Personnel are aware of the information security policy,Security awareness training or policy acknowledgements,strong,Yes,,,Governance & Policy,Secure Offices and Facilities,Not Started
INT-07-11,ISO27001_2022,7.3,governance,Personnel are aware of their information security responsibilities,Role-based awareness materials or training,medium,Yes,,,Governance & Policy,Secure Offices and Facilities,Not Started
INT-07-12,ISO27001_2022,7.3,governance,Personnel are aware of the consequences of not complying with information security requirements,Disciplinary policy or awareness materials,weak,Yes,,,Governance & Policy,Secure Offices and Facilities,Not Started
INT-07-13,ISO27001_2022,7.3,governance,Information security awareness activities are conducted at planned intervals,Awareness program schedule or records,medium,Yes,,,Governance & Policy,Secure Offices and Facilities,Not Started
INT-07-14,ISO27001_2022,7.4,governance,Information security communication requirements are identified,Communication plan or ISMS communication procedure,strong,Yes,,,Governance & Policy,Monitor Physical Security,Not Started
INT-07-15,ISO27001_2022,7.4,governance,"The organization determines what ,  when,  and with whom to communicate information security matters",Defined communication channels or matrices,medium,Yes,,,Governance & Policy,Monitor Physical Security,Not Started
INT-07-16,ISO27001_2022,7.4,governance,Information security communications are performed as planned,Communication records or evidence of execution,medium,Yes,,,Governance & Policy,Monitor Physical Security,Not Started
INT-07-17,ISO27001_2022,7.4,governance,External communication related to information security is controlled and authorized,External communication procedures or approvals,weak,Yes,,,Governance & Policy,Monitor Physical Security,Not Started
INT-07-18,ISO27001_2022,7.5.1,governance,Documented information required by the ISMS is identified and maintained,ISMS document register,strong,Yes,,,Governance & Policy,Documented information required by the ISMS is identified and maintained,Not Started
INT-07-19,ISO27001_2022,7.5.1,governance,Documented information necessary for effective ISMS operation is available,Approved ISMS documents,strong,Yes,,,Governance & Policy,Documented information necessary for effective ISMS operation is available,Not Started
INT-07-20,ISO27001_2022,7.5.2,governance,"Documented information is appropriately identified including title,  date,  and author",Document templates or metadata,medium,Yes,,,Governance & Policy,"Documented information is appropriately identified including title,  date,  and author",Not Started
INT-07-21,ISO27001_2022,7.5.2,governance,Documented information is reviewed and approved for suitability and adequacy prior to issue,Approval records,strong,Yes,,,Governance & Policy,Documented information is reviewed and approved for suitability and adequacy prior to issue,Not Started
INT-07-22,ISO27001_2022,7.5.2,governance,Changes to documented information are reviewed and approved,Change history or version control,strong,Yes,,,Governance & Policy,Changes to documented information are reviewed and approved,Not Started
INT-07-23,ISO27001_2022,7.5.3,governance,Documented information is controlled to ensure availability and suitability,Access controls or document repositories,strong,Yes,,,Governance & Policy,Documented information is controlled to ensure availability and suitability,Not Started
INT-07-24,ISO27001_2022,7.5.3,governance,Documented information is protected from loss of confidentiality or integrity,Backup and access protection mechanisms,medium,Yes,,,Governance & Policy,Documented information is protected from loss of confidentiality or integrity,Not Started
INT-07-25,ISO27001_2022,7.5.3,governance,Distribution and access to documented information are controlled,Access permission records,medium,Yes,,,Governance & Policy,Distribution and access to documented information are controlled,Not Started
INT-07-26,ISO27001_2022,7.5.3,governance,Retention and disposition of documented information are defined and applied,Retention schedules or disposal records,weak,Yes,,,Governance & Policy,Retention and disposition of documented information are defined and applied,Not Started
INT-08-01,ISO27001_2022,8.1,process,ISMS operational processes are planned and implemented in accordance with defined requirements,ISMS procedures or operational plans,strong,Yes,,,Operations (General),Secure User Endpoints,Not Started
INT-08-02,ISO27001_2022,8.1,process,Operational controls are implemented to meet information security requirements,Operational control evidence or system configurations,strong,Yes,,,Operations (General),Secure User Endpoints,Not Started
INT-08-03,ISO27001_2022,8.1,process,Changes to ISMS operations are planned and controlled,Change management records,medium,Yes,,,Operations (General),Secure User Endpoints,Not Started
INT-08-04,ISO27001_2022,8.1,process,Outsourced ISMS processes are controlled in accordance with ISMS requirements,Supplier agreements or oversight records,medium,Yes,,,Operations (General),Secure User Endpoints,Not Started
INT-08-05,ISO27001_2022,8.2,process,Information security risk assessments are performed according to the defined methodology,Completed risk assessment records,strong,Yes,,,Operations (General),Restrict Privileged Access,Not Started
INT-08-06,ISO27001_2022,8.2,process,Risk assessments are conducted when significant changes occur,Change-triggered risk assessments,medium,Yes,,,Operations (General),Restrict Privileged Access,Not Started
INT-08-07,ISO27001_2022,8.2,process,Risk assessment results are reviewed and validated,Review or approval records,medium,Yes,,,Operations (General),Restrict Privileged Access,Not Started
INT-08-08,ISO27001_2022,8.3,process,Information security risk treatment plans are implemented as planned,Implemented risk treatment actions,strong,Yes,,,Operations (General),Restrict Information Access,Not Started
INT-08-09,ISO27001_2022,8.3,process,Risk treatment actions are monitored for effectiveness,Control effectiveness reviews or metrics,medium,Yes,,,Operations (General),Restrict Information Access,Not Started
INT-08-10,ISO27001_2022,8.3,process,Changes to risk treatment are managed and documented,Updated risk treatment plans or records,weak,Yes,,,Operations (General),Restrict Information Access,Not Started
INT-09-01,ISO27001_2022,9.1,governance,Information security performance metrics are defined,Defined ISMS metrics or KPIs,strong,Yes,,,Internal Audit,Information security performance metrics are defined,Not Started
INT-09-02,ISO27001_2022,9.1,governance,Monitoring and measurement of information security performance are performed,Monitoring records or dashboards,strong,Yes,,,Internal Audit,Monitoring and measurement of information security performance are performed,Not Started
INT-09-03,ISO27001_2022,9.1,governance,Results of monitoring and measurement are analyzed and evaluated,Analysis reports or management review inputs,medium,Yes,,,Internal Audit,Results of monitoring and measurement are analyzed and evaluated,Not Started
INT-09-04,ISO27001_2022,9.1,governance,Monitoring and measurement activities are conducted at planned intervals,Measurement schedules or plans,medium,Yes,,,Internal Audit,Monitoring and measurement activities are conducted at planned intervals,Not Started
INT-09-05,ISO27001_2022,9.2.1,governance,An internal audit process for the ISMS is defined and documented,Internal audit procedure,strong,Yes,,,Internal Audit,An internal audit process for the ISMS is defined and documented,Not Started
INT-09-06,ISO27001_2022,9.2.1,governance,Internal audits are conducted at planned intervals,Internal audit reports,strong,Yes,,,Internal Audit,Internal audits are conducted at planned intervals,Not Started
INT-09-07,ISO27001_2022,9.2.1,governance,Internal audits assess conformity with ISO/IEC 27001 requirements,Audit criteria and checklists,medium,Yes,,,Internal Audit,Internal audits assess conformity with ISO/IEC 27001 requirements,Not Started
INT-09-08,ISO27001_2022,9.2.1,governance,Internal auditors are independent of the activities being audited,Auditor assignment or independence records,medium,Yes,,,Internal Audit,Internal auditors are independent of the activities being audited,Not Started
INT-09-09,ISO27001_2022,9.2.2,governance,An internal audit programme is established considering importance of processes,Internal audit programme,strong,Yes,,,Internal Audit,An internal audit programme is established considering importance of processes,Not Started
INT-09-10,ISO27001_2022,9.2.2,governance,The audit programme is updated based on previous audit results and changes,Updated audit programme,medium,Yes,,,Internal Audit,The audit programme is updated based on previous audit results and changes,Not Started
INT-09-11,ISO27001_2022,9.3.1,governance,Top management conducts management reviews of the ISMS at planned intervals,Management review records,strong,Yes,,,Internal Audit,Top management conducts management reviews of the ISMS at planned intervals,Not Started
INT-09-12,ISO27001_2022,9.3.1,governance,Management reviews are conducted according to a defined process,Management review procedure,medium,Yes,,,Internal Audit,Management reviews are conducted according to a defined process,Not Started
INT-09-13,ISO27001_2022,9.3.2,governance,Management reviews consider the status of actions from previous reviews,Action tracking records,medium,Yes,,,Internal Audit,Management reviews consider the status of actions from previous reviews,Not Started
INT-09-14,ISO27001_2022,9.3.2,governance,Management reviews consider changes affecting the ISMS,Review inputs or agendas,medium,Yes,,,Internal Audit,Management reviews consider changes affecting the ISMS,Not Started
INT-09-15,ISO27001_2022,9.3.2,governance,Management reviews consider ISMS performance and effectiveness,Performance reports,strong,Yes,,,Internal Audit,Management reviews consider ISMS performance and effectiveness,Not Started
INT-09-16,ISO27001_2022,9.3.3,governance,Outputs of management reviews include decisions related to ISMS improvement,Management review outputs,strong,Yes,,,Internal Audit,Outputs of management reviews include decisions related to ISMS improvement,Not Started
INT-09-17,ISO27001_2022,9.3.3,governance,Outputs include decisions on resource needs and changes to the ISMS,Documented decisions or action plans,medium,Yes,,,Internal Audit,Outputs include decisions on resource needs and changes to the ISMS,Not Started
INT-10-01,ISO27001_2022,10.1,process,Nonconformities related to the ISMS are identified and documented,Nonconformity or incident records,strong,Yes,,,Improvement,Nonconformities related to the ISMS are identified and documented,Not Started
INT-10-02,ISO27001_2022,10.1,process,Actions are taken to control and correct identified nonconformities,Corrective action records,strong,Yes,,,Improvement,Actions are taken to control and correct identified nonconformities,Not Started
INT-10-03,ISO27001_2022,10.1,process,Root causes of nonconformities are evaluated,Root cause analysis records,medium,Yes,,,Improvement,Root causes of nonconformities are evaluated,Not Started
INT-10-04,ISO27001_2022,10.1,process,Corrective actions are implemented to prevent recurrence,Corrective action plans,strong,Yes,,,Improvement,Corrective actions are implemented to prevent recurrence,Not Started
INT-10-05,ISO27001_2022,10.1,process,Effectiveness of corrective actions is reviewed,Corrective action effectiveness reviews,medium,Yes,,,Improvement,Effectiveness of corrective actions is reviewed,Not Started
INT-10-06,ISO27001_2022,10.2,governance,The organization identifies opportunities for continual improvement of the ISMS,Improvement logs or management review actions,medium,Yes,,,Improvement,The organization identifies opportunities for continual improvement of the ISMS,Not Started
INT-10-07,ISO27001_2022,10.2,governance,Improvements to the ISMS are planned and implemented,Improvement plans or change records,strong,Yes,,,Improvement,Improvements to the ISMS are planned and implemented,Not Started
INT-10-08,ISO27001_2022,10.2,governance,The effectiveness of ISMS improvements is evaluated,Post-implementation review records,medium,Yes,,,Improvement,The effectiveness of ISMS improvements is evaluated,Not Started
INT-A5-01,ISO27001_2022,A.5.1,governance,A documented set of information security policies exists,Information security policy suite,medium,YES,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-02,ISO27001_2022,A.5.1,governance,Topic-specific information security policies are defined for applicable control areas,Set of topic-specific security policies,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-03,ISO27001_2022,A.5.1,governance,Information security policies are formally approved by top management,Policy approval records or sign-off,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-04,ISO27001_2022,A.5.1,governance,Information security policies are published and accessible to relevant personnel,Intranet or policy repository,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-05,ISO27001_2022,A.5.1,governance,Information security policies are communicated to relevant personnel and interested parties,Emails or training records,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-06,ISO27001_2022,A.5.1,governance,Each information security policy defines a review and update frequency,Policy documents,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-07,ISO27001_2022,A.5.1,governance,Information security policies are reviewed within defined review periods,Version history or review records,medium,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-08,ISO27001_2022,A.5.1,governance,Relevant personnel acknowledge information security policies,Signed acknowledgements or LMS records,weak,NO,,,Governance & Policy,Establish Information Security Policies,Not Started
INT-A5-09,ISO27001_2022,A.5.2,governance,Information security roles and responsibilities are formally defined and documented,Security governance policy,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-10,ISO27001_2022,A.5.2,governance,Information security roles and responsibilities are allocated according to organizational needs,Responsibility matrix or role assignments,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-11,ISO27001_2022,A.5.2,governance,Information security roles and responsibilities cover employees contractors and third parties,Role definitions or governance policy,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-12,ISO27001_2022,A.5.2,governance,A defined frequency exists to review and update information security roles and responsibilities,Governance policy or review schedule,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-13,ISO27001_2022,A.5.2,governance,Information security roles and responsibilities are reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-14,ISO27001_2022,A.5.2,governance,Information security roles and responsibilities are communicated to relevant personnel,Training or awareness records,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-15,ISO27001_2022,A.5.2,governance,Reporting lines and accountability for information security activities are clearly defined,Organizational chart or RACI matrix,medium,NO,,,Governance & Policy,Assign Security Roles & Responsibilities,Not Started
INT-A5-16,ISO27001_2022,A.5.3,governance,Segregation of conflicting duties and areas of responsibility is formally defined,Security governance policy,medium,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-17,ISO27001_2022,A.5.3,governance,Segregation of duties requirements are communicated to relevant personnel,Training or awareness records,medium,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-18,ISO27001_2022,A.5.3,governance,A defined frequency exists to review and update segregation of duties documentation,Governance policy or review schedule,medium,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-19,ISO27001_2022,A.5.3,governance,Segregation of duties documentation has been reviewed within defined review periods,Version history or review records,medium,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-20,ISO27001_2022,A.5.3,technical,Separation of duties is enforced between requester approver and implementer for change requests,Change management workflow or access control matrix,strong,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-21,ISO27001_2022,A.5.3,technical,Separation of duties is enforced between development test and production environments,Access control configuration or role assignments,strong,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-22,ISO27001_2022,A.5.3,technical,Technical or procedural controls are implemented to enforce segregation of duties,System permissions or workflow approvals,strong,NO,,,Governance & Policy,Segregate Conflicting Duties,Not Started
INT-A5-23,ISO27001_2022,A.5.4,governance,Management requires employees and contractors to comply with information security policies and procedures,Security governance policy,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
INT-A5-24,ISO27001_2022,A.5.4,governance,Information security requirements are communicated to relevant personnel,Training or awareness materials,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
